Comisión Nacional del Agua
Subdirección General Técnica
Estación: Huixtla
Clave: HUIXTLA
Estado: Chiapas
Municipio: Huixtla

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
2012/06/05,-,-,-,-,
2012/06/06,-,-,-,-,
2012/06/07,-,-,-,-,
2012/06/08,-,-,-,-,
2012/06/09,-,-,-,-,
2012/06/10,-,-,-,-,
2012/06/11,-,-,-,-,
2012/06/12,-,-,-,-,
2012/06/13,-,-,-,-,
2012/06/14,-,-,-,-,
2012/06/15,-,-,-,-,
2012/06/16,-,-,-,-,
2012/06/17,-,-,-,-,
2012/06/18,-,-,-,-,
2012/06/19,-,-,-,-,
2012/06/20,-,-,-,-,
2012/06/21,-,-,-,-,
2012/06/22,-,-,-,-,
2012/06/23,-,-,-,-,
2012/06/24,-,-,-,-,
2012/06/25,-,-,-,-,
2012/06/26,-,-,-,-,
2012/06/27,-,-,-,-,
2012/06/28,-,-,-,-,
2012/06/29,-,-,-,-,
2012/06/30,-,-,-,-,
2012/07/01,-,-,-,-,
2012/07/02,-,-,-,-,
2012/07/03,-,-,-,-,
2012/07/04,-,-,-,-,
2012/07/05,-,-,-,-,
2012/07/06,-,-,-,-,
2012/07/07,-,-,-,-,
2012/07/08,-,-,-,-,
2012/07/09,-,-,-,-,
2012/07/10,-,-,-,-,
2012/07/11,-,-,-,-,
2012/07/12,-,-,-,-,
2012/07/13,-,-,-,-,
2012/07/14,-,-,-,-,
2012/07/15,-,-,-,-,
2012/07/16,-,-,-,-,
2012/07/17,-,-,-,-,
2012/07/18,-,-,-,-,
2012/07/19,-,-,-,-,
2012/07/20,-,-,-,-,
2012/07/21,-,-,-,-,
2012/07/22,-,-,-,-,
2012/07/23,-,-,-,-,
2012/07/24,-,-,-,-,
2012/07/25,-,-,-,-,
2012/07/26,-,-,-,-,
2012/07/27,-,-,-,-,
2012/07/28,-,-,-,-,
2012/07/29,-,-,-,-,
2012/07/30,-,-,-,-,
2012/07/31,-,-,-,-,
2012/08/01,-,-,-,-,
2012/08/02,-,-,-,-,
2012/08/03,-,-,-,-,
2012/08/04,-,-,-,-,
2012/08/05,-,-,-,-,
2012/08/06,-,-,-,-,
2012/08/07,-,-,-,-,
2012/08/08,-,-,-,-,
2012/08/09,-,-,-,-,
2012/08/10,-,-,-,-,
2012/08/11,-,-,-,-,
2012/08/12,-,-,-,-,
2012/08/13,-,-,-,-,
2012/08/14,-,-,-,-,
2012/08/15,-,-,-,-,
2012/08/16,-,-,-,-,
2012/08/17,-,-,-,-,
2012/08/18,-,-,-,-,
2012/08/19,-,-,-,-,
2012/08/20,-,-,-,-,
2012/08/21,-,-,-,-,
2012/08/22,-,-,-,-,
2012/08/23,-,-,-,-,
2012/08/24,-,-,-,-,
2012/08/25,-,-,-,-,
2012/08/26,-,-,-,-,
2012/08/27,-,-,-,-,
2012/08/28,0.30,-,-,-,
2012/08/29,17.20,-,-,-,
2012/08/30,0.00,-,-,-,
2012/08/31,-,-,-,-,
2012/09/01,-,-,-,-,
2012/09/02,-,-,-,-,
2012/09/03,-,-,-,-,
2012/09/04,-,-,-,-,
2012/09/05,-,-,-,-,
2012/09/06,-,-,-,-,
2012/09/07,-,-,-,-,
2012/09/08,-,-,-,-,
2012/09/09,-,-,-,-,
2012/09/10,-,-,-,-,
2012/09/11,-,-,-,-,
2012/09/12,-,-,-,-,
2012/09/13,-,-,-,-,
2012/09/14,-,-,-,-,
2012/09/15,-,-,-,-,
2012/09/16,1.30,-,-,-,
2012/09/17,33.10,-,-,-,
2012/09/18,0.00,-,-,-,
2012/09/19,-,-,-,-,
2012/09/20,-,-,-,-,
2012/09/21,-,-,-,-,
2012/09/22,-,-,-,-,
2012/09/23,-,-,-,-,
2012/09/24,-,-,-,-,
2012/09/25,-,-,-,-,
2012/09/26,0.20,-,-,-,
2012/09/27,12.70,-,-,-,
2012/09/28,0.00,-,-,-,
2012/09/29,-,-,-,-,
2012/09/30,-,-,-,-,
2012/10/01,-,-,-,-,
2012/10/02,-,-,-,-,
2012/10/03,-,-,-,-,
2012/10/04,-,-,-,-,
2012/10/05,-,-,-,-,
2012/10/06,-,-,-,-,
2012/10/07,-,-,-,-,
2012/10/08,-,-,-,-,
2012/10/09,-,-,-,-,
2012/10/10,-,-,-,-,
2012/10/11,-,-,-,-,
2012/10/12,-,-,-,-,
2012/10/13,-,-,-,-,
2012/10/14,-,-,-,-,
2012/10/15,-,-,-,-,
2012/10/16,-,-,-,-,
2012/10/17,-,-,-,-,
2012/10/18,-,-,-,-,
2012/10/19,0.00,-,-,-,
2012/10/20,11.10,-,-,-,
2012/10/21,-,-,-,-,
2012/10/22,-,-,-,-,
2012/10/23,-,-,-,-,
2012/10/24,-,-,-,-,
2012/10/25,-,-,-,-,
2012/10/26,-,-,-,-,
2012/10/27,-,-,-,-,
2012/10/28,-,-,-,-,
2012/10/29,0.00,-,-,-,
2012/10/30,0.00,-,-,-,
2012/10/31,0.20,-,-,-,
2012/11/01,1.80,-,-,-,
2012/11/02,0.00,-,-,-,
2012/11/03,0.00,-,-,-,
2012/11/04,0.00,-,-,-,
2012/11/05,4.40,-,-,-,
2012/11/06,0.00,-,-,-,
2012/11/07,13.80,-,-,-,
2012/11/08,0.00,-,-,-,
2012/11/09,0.00,-,-,-,
2012/11/10,0.00,-,-,-,
2012/11/11,0.00,-,-,-,
2012/11/12,0.00,-,-,-,
2012/11/13,0.00,-,-,-,
2012/11/14,0.10,-,-,-,
2012/11/15,0.00,-,-,-,
2012/11/16,0.00,-,-,-,
2012/11/17,0.00,-,-,-,
2012/11/18,0.00,-,-,-,
2012/11/19,0.00,-,-,-,
2012/11/20,0.00,-,-,-,
2012/11/21,0.00,-,-,-,
2012/11/22,0.00,-,-,-,
2012/11/23,0.00,-,-,-,
2012/11/24,0.00,-,-,-,
2012/11/25,7.10,-,-,-,
2012/11/26,0.00,-,-,-,
2012/11/27,0.00,-,-,-,
2012/11/28,0.00,-,-,-,
2012/11/29,0.00,-,-,-,
2012/11/30,0.00,-,-,-,
2012/12/01,34.60,-,-,-,
2012/12/02,0.00,-,-,-,
2012/12/03,0.00,-,-,-,
2012/12/04,0.90,-,-,-,
2012/12/05,8.60,-,-,-,
2012/12/06,12.70,-,-,-,
2012/12/07,1.10,-,-,-,
2012/12/08,0.00,-,-,-,
2012/12/09,0.00,-,-,-,
2012/12/10,0.00,-,-,-,
2012/12/11,0.00,-,-,-,
2012/12/12,0.00,-,-,-,
2012/12/13,0.00,-,-,-,
2012/12/14,0.00,-,-,-,
2012/12/15,0.00,-,-,-,
2012/12/16,0.00,-,-,-,
2012/12/17,0.00,-,-,-,
2012/12/18,0.00,-,-,-,
2012/12/19,0.00,-,-,-,
2012/12/20,0.00,-,-,-,
2012/12/21,0.00,-,-,-,
2012/12/22,0.00,-,-,-,
2012/12/23,0.00,-,-,-,
2012/12/24,0.00,-,-,-,
2012/12/25,0.00,-,-,-,
2012/12/26,0.00,-,-,-,
2012/12/27,0.00,-,-,-,
2012/12/28,0.00,-,-,-,
2012/12/29,0.00,-,-,-,
2012/12/30,0.00,-,-,-,
2012/12/31,0.00,-,-,-,
2013/01/01,0.00,-,-,-,
2013/01/02,0.00,-,-,-,
2013/01/03,0.00,-,-,-,
2013/01/04,0.00,-,-,-,
2013/01/05,0.00,-,-,-,
2013/01/06,0.00,-,-,-,
2013/01/07,0.00,-,-,-,
2013/01/08,0.00,-,-,-,
2013/01/09,0.00,-,-,-,
2013/01/10,0.00,-,-,-,
2013/01/11,0.00,-,-,-,
2013/01/12,0.10,-,-,-,
2013/01/13,0.70,-,-,-,
2013/01/14,0.00,-,-,-,
2013/01/15,0.00,-,-,-,
2013/01/16,-,-,-,-,
2013/01/17,0.30,-,-,-,
2013/01/18,0.00,-,-,-,
2013/01/19,0.00,-,-,-,
2013/01/20,0.00,-,-,-,
2013/01/21,0.00,-,-,-,
2013/01/22,0.00,-,-,-,
2013/01/23,0.10,-,-,-,
2013/01/24,0.40,-,-,-,
2013/01/25,47.90,-,-,-,
2013/01/26,0.00,-,-,-,
2013/01/27,0.00,-,-,-,
2013/01/28,0.00,-,-,-,
2013/01/29,0.00,-,-,-,
2013/01/30,0.00,-,-,-,
2013/01/31,0.00,-,-,-,
2013/02/01,0.00,-,-,-,
2013/02/02,0.00,-,-,-,
2013/02/03,0.40,-,-,-,
2013/02/04,0.00,-,-,-,
2013/02/05,0.00,-,-,-,
2013/02/06,0.00,-,-,-,
2013/02/07,0.00,-,-,-,
2013/02/08,0.00,-,-,-,
2013/02/09,0.00,-,-,-,
2013/02/10,0.00,-,-,-,
2013/02/11,0.00,-,-,-,
2013/02/12,0.00,-,-,-,
2013/02/13,0.00,-,-,-,
2013/02/14,0.00,-,-,-,
2013/02/15,0.00,-,-,-,
2013/02/16,0.00,-,-,-,
2013/02/17,-,-,-,-,
2013/02/18,0.00,-,-,-,
2013/02/19,0.00,-,-,-,
2013/02/20,0.00,-,-,-,
2013/02/21,0.00,-,-,-,
2013/02/22,0.00,-,-,-,
2013/02/23,0.00,-,-,-,
2013/02/24,0.00,-,-,-,
2013/02/25,0.00,-,-,-,
2013/02/26,0.00,-,-,-,
2013/02/27,0.00,-,-,-,
2013/02/28,0.00,-,-,-,
2013/03/01,0.00,-,-,-,
2013/03/02,0.00,-,-,-,
2013/03/03,0.00,-,-,-,
2013/03/04,0.00,-,-,-,
2013/03/05,0.00,-,-,-,
2013/03/06,0.00,-,-,-,
2013/03/07,0.00,-,-,-,
2013/03/08,0.00,-,-,-,
2013/03/09,0.00,-,-,-,
2013/03/10,0.00,-,-,-,
2013/03/11,0.00,-,-,-,
2013/03/12,0.00,-,-,-,
2013/03/13,0.00,-,-,-,
2013/03/14,0.00,-,-,-,
2013/03/15,0.00,-,-,-,
2013/03/16,0.00,-,-,-,
2013/03/17,0.00,-,-,-,
2013/03/18,0.00,-,-,-,
2013/03/19,0.00,-,-,-,
2013/03/20,0.00,-,-,-,
2013/03/21,0.00,-,-,-,
2013/03/22,0.00,-,-,-,
2013/03/23,0.00,-,-,-,
2013/03/24,0.00,-,-,-,
2013/03/25,0.00,-,-,-,
2013/03/26,0.00,-,-,-,
2013/03/27,0.00,-,-,-,
2013/03/28,0.00,-,-,-,
2013/03/29,0.00,-,-,-,
2013/03/30,0.00,-,-,-,
2013/03/31,0.00,-,-,-,
2013/04/01,0.00,-,-,-,
2013/04/02,0.00,-,-,-,
2013/04/03,0.00,-,-,-,
2013/04/04,0.00,-,-,-,
2013/04/05,0.00,-,-,-,
2013/04/06,0.00,-,-,-,
2013/04/07,0.00,-,-,-,
2013/04/08,0.00,-,-,-,
2013/04/09,0.00,-,-,-,
2013/04/10,0.00,-,-,-,
2013/04/11,0.00,-,-,-,
2013/04/12,0.00,-,-,-,
2013/04/13,0.00,-,-,-,
2013/04/14,0.00,-,-,-,
2013/04/15,0.00,-,-,-,
2013/04/16,0.00,-,-,-,
2013/04/17,0.00,-,-,-,
2013/04/18,0.00,-,-,-,
2013/04/19,0.00,-,-,-,
2013/04/20,0.00,-,-,-,
2013/04/21,5.80,-,-,-,
2013/04/22,0.20,-,-,-,
2013/04/23,0.00,-,-,-,
2013/04/24,0.00,-,-,-,
2013/04/25,0.00,-,-,-,
2013/04/26,0.00,-,-,-,
2013/04/27,0.00,-,-,-,
2013/04/28,9.00,-,-,-,
2013/04/29,0.00,-,-,-,
2013/04/30,49.60,-,-,-,
2013/05/01,0.00,-,-,-,
2013/05/02,0.70,-,-,-,
2013/05/03,0.00,-,-,-,
2013/05/04,0.00,-,-,-,
2013/05/05,0.00,-,-,-,
2013/05/06,0.00,-,-,-,
2013/05/07,0.00,-,-,-,
2013/05/08,14.40,-,-,-,
2013/05/09,0.00,-,-,-,
2013/05/10,0.00,-,-,-,
2013/05/11,0.00,-,-,-,
2013/05/12,0.00,-,-,-,
2013/05/13,0.00,-,-,-,
2013/05/14,1.60,-,-,-,
2013/05/15,13.20,-,-,-,
2013/05/16,0.00,-,-,-,
2013/05/17,4.50,-,-,-,
2013/05/18,0.00,-,-,-,
2013/05/19,0.00,-,-,-,
2013/05/20,0.00,-,-,-,
2013/05/21,2.20,-,-,-,
2013/05/22,0.00,-,-,-,
2013/05/23,5.40,-,-,-,
2013/05/24,0.00,-,-,-,
2013/05/25,-,-,-,-,
2013/05/26,-,-,-,-,
2013/05/27,-,-,-,-,
2013/05/28,-,-,-,-,
2013/05/29,-,-,-,-,
2013/05/30,-,-,-,-,
2013/05/31,-,-,-,-,
2013/06/01,-,-,-,-,
2013/06/02,-,-,-,-,
2013/06/03,-,-,-,-,
2013/06/04,-,-,-,-,
2013/06/05,-,-,-,-,
2013/06/06,-,-,-,-,
2013/06/07,-,-,-,-,
2013/06/08,-,-,-,-,
2013/06/09,-,-,-,-,
2013/06/10,-,-,-,-,
2013/06/11,-,-,-,-,
2013/06/12,-,-,-,-,
2013/06/13,-,-,-,-,
2013/06/14,-,-,-,-,
2013/06/15,-,-,-,-,
2013/06/16,-,-,-,-,
2013/06/17,-,-,-,-,
2013/06/18,-,-,-,-,
2013/06/19,-,-,-,-,
2013/06/20,-,-,-,-,
2013/06/21,-,-,-,-,
2013/06/22,-,-,-,-,
2013/06/23,-,-,-,-,
2013/06/24,-,-,-,-,
2013/06/25,-,-,-,-,
2013/06/26,-,-,-,-,
2013/06/27,-,-,-,-,
2013/06/28,-,-,-,-,
2013/06/29,-,-,-,-,
2013/06/30,-,-,-,-,
2013/07/01,-,-,-,-,
2013/07/02,-,-,-,-,
2013/07/03,-,-,-,-,
2013/07/04,-,-,-,-,
2013/07/05,-,-,-,-,
2013/07/06,-,-,-,-,
2013/07/07,-,-,-,-,
2013/07/08,-,-,-,-,
2013/07/09,-,-,-,-,
2013/07/10,-,-,-,-,
2013/07/11,-,-,-,-,
2013/07/12,-,-,-,-,
2013/07/13,-,-,-,-,
2013/07/14,-,-,-,-,
2013/07/15,-,-,-,-,
2013/07/16,-,-,-,-,
2013/07/17,-,-,-,-,
2013/07/18,-,-,-,-,
2013/07/19,-,-,-,-,
2013/07/20,-,-,-,-,
2013/07/21,-,-,-,-,
2013/07/22,-,-,-,-,
2013/07/23,-,-,-,-,
2013/07/24,-,-,-,-,
2013/07/25,-,-,-,-,
2013/07/26,-,-,-,-,
2013/07/27,-,-,-,-,
2013/07/28,-,-,-,-,
2013/07/29,-,-,-,-,
2013/07/30,-,-,-,-,
2013/07/31,-,-,-,-,
2013/08/01,-,-,-,-,
2013/08/02,-,-,-,-,
2013/08/03,-,-,-,-,
2013/08/04,-,-,-,-,
2013/08/05,-,-,-,-,
2013/08/06,-,-,-,-,
2013/08/07,-,-,-,-,
2013/08/08,-,-,-,-,
2013/08/09,-,-,-,-,
2013/08/10,-,-,-,-,
2013/08/11,-,-,-,-,
2013/08/12,-,-,-,-,
2013/08/13,-,-,-,-,
2013/08/14,-,-,-,-,
2013/08/15,-,-,-,-,
2013/08/16,-,-,-,-,
2013/08/17,-,-,-,-,
2013/08/18,-,-,-,-,
2013/08/19,-,-,-,-,
2013/08/20,-,-,-,-,
2013/08/21,-,-,-,-,
2013/08/22,-,-,-,-,
2013/08/23,-,-,-,-,
2013/08/24,-,-,-,-,
2013/08/25,-,-,-,-,
2013/08/26,-,-,-,-,
2013/08/27,-,-,-,-,
2013/08/28,-,-,-,-,
2013/08/29,-,-,-,-,
2013/08/30,-,-,-,-,
2013/08/31,-,-,-,-,
2013/09/01,-,-,-,-,
2013/09/02,-,-,-,-,
2013/09/03,-,-,-,-,
2013/09/04,-,-,-,-,
2013/09/05,-,-,-,-,
2013/09/06,-,-,-,-,
2013/09/07,-,-,-,-,
2013/09/08,-,-,-,-,
2013/09/09,-,-,-,-,
2013/09/10,-,-,-,-,
2013/09/11,-,-,-,-,
2013/09/12,-,-,-,-,
2013/09/13,-,-,-,-,
2013/09/14,-,-,-,-,
2013/09/15,-,-,-,-,
2013/09/16,-,-,-,-,
2013/09/17,-,-,-,-,
2013/09/18,-,-,-,-,
2013/09/19,-,-,-,-,
2013/09/20,-,-,-,-,
2013/09/21,-,-,-,-,
